seed,robots,policy,temporal_decay,candidates,selected,mean_information
31,2,BACS+,True,240,5,0.9447791718010791
31,3,FIFO,True,240,5,0.498752419549885
31,3,BACS,True,240,5,0.9272065621144214
31,3,BACS+,True,240,5,0.9447791718010791
31,4,FIFO,True,240,5,0.498752419549885
31,4,BACS,True,240,5,0.9272065621144214
31,4,BACS+,True,240,5,0.9447791718010791
31,5,FIFO,True,240,5,0.498752419549885
31,5,BACS,True,240,5,0.9272065621144214
31,5,BACS+,True,240,5,0.9447791718010791
32,2,FIFO,True,240,5,0.4495419036979901
32,2,BACS,True,240,5,0.9131247981279437
32,2,BACS+,True,240,5,0.9155370275284944
32,3,FIFO,True,240,5,0.4495419036979901
32,3,BACS,True,240,5,0.9131247981279437
32,3,BACS+,True,240,5,0.9155370275284944
32,4,FIFO,True,240,5,0.4495419036979901
32,4,BACS,True,240,5,0.9131247981279437
32,4,BACS+,True,240,5,0.9155370275284944
32,5,FIFO,True,240,5,0.4495419036979901
32,5,BACS,True,240,5,0.9131247981279437
32,5,BACS+,True,240,5,0.9155370275284944
33,2,FIFO,True,240,5,0.6067206290429665
33,2,BACS,True,240,5,0.9201127454340231
33,2,BACS+,True,240,5,0.9201127454340231
33,3,FIFO,True,240,5,0.6067206290429665
33,3,BACS,True,240,5,0.9201127454340231
33,3,BACS+,True,240,5,0.9201127454340231
33,4,FIFO,True,240,5,0.6067206290429665
33,4,BACS,True,240,5,0.9201127454340231
33,4,BACS+,True,240,5,0.9201127454340231
33,5,FIFO,True,240,5,0.6067206290429665
33,5,BACS,True,240,5,0.9201127454340231
33,5,BACS+,True,240,5,0.9201127454340231
34,2,FIFO,True,240,5,0.5308733323512446
34,2,BACS,True,240,5,0.8860972576080824
34,2,BACS+,True,240,5,0.8897698148424965
34,3,FIFO,True,240,5,0.5308733323512446
34,3,BACS,True,240,5,0.8860972576080824
34,3,BACS+,True,240,5,0.8897698148424965
34,4,FIFO,True,240,5,0.5308733323512446
34,4,BACS,True,240,5,0.8860972576080824
34,4,BACS+,True,240,5,0.8897698148424965
34,5,FIFO,True,240,5,0.5308733323512446
34,5,BACS,True,240,5,0.8860972576080824
34,5,BACS+,True,240,5,0.8897698148424965
35,2,FIFO,True,240,5,0.6164409312670995
35,2,BACS,True,240,5,0.8820310189207708
35,2,BACS+,True,240,5,0.8861058910245866
